purchasecod,codclient,date_purchase,sales_channel,codprod,product,price,category_name,brand,disc_perc,total
23649200,7246130,2024-06-23,mob,627902,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,69.0,"speaker, portable, bluetooth",Boytone,0.06,68.96
44556263,3809993,2023-12-06,partners,319804,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,69.0,"speaker, portable, bluetooth",Boytone,0.0,69.0
70747935,5896664,2022-10-18,partners,931605,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,66.0,"speaker, portable, bluetooth",Boytone,0.0,66.0
36205924,1138199,2022-11-29,mob,912670,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,74.99,"speaker, portable, bluetooth",Boytone,0.0,74.99
81749570,7516843,2023-01-07,mob,352169,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,69.99,"speaker, portable, bluetooth",Boytone,0.0,69.99
51879292,7184693,2022-03-23,partners,714156,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,"speaker, portable, bluetooth",Boytone,0.0,64.99
13845880,1203524,2023-01-23,partners,622310,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,69.99,"speaker, portable, bluetooth",Boytone,0.0,69.99
55265672,4282676,2022-01-17,mktplace,925385,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,66.99,"speaker, portable, bluetooth",Boytone,0.0,66.99
44736312,2612548,2023-12-27,mob,437953,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,65.99,"speaker, portable, bluetooth",Boytone,0.0,65.99
99678610,5281281,2022-05-18,partners,280007,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,"speaker, portable, bluetooth",Boytone,0.0,64.99
92819210,2592326,2022-08-18,mob,281966,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,"speaker, portable, bluetooth",Boytone,0.0,64.99
54076466,1597607,2023-02-26,partners,275438,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,"speaker, portable, bluetooth",Boytone,0.0,64.99
79212972,5773386,2023-01-25,mob,882130,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,"speaker, portable, bluetooth",Boytone,0.0,64.99
19481126,6789779,2022-06-24,mktplace,532307,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,"speaker, portable, bluetooth",Boytone,0.0,64.99
80931012,2987672,2024-03-10,website,128856,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,"speaker, portable, bluetooth",Boytone,0.0,64.99
82746835,3878895,2022-03-15,mob,724869,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,"speaker, portable, bluetooth",Boytone,0.0,64.99
44430867,9377852,2023-07-03,mob,316714,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,"speaker, portable, bluetooth",Boytone,0.0,64.99
30442262,5738346,2024-01-24,mktplace,305661,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,"speaker, portable, bluetooth",Boytone,0.0,64.99
90778458,6205841,2022-05-19,store,567745,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,"speaker, portable, bluetooth",Boytone,0.0,64.99
47818748,5118656,2022-11-21,store,806087,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,"speaker, portable, bluetooth",Boytone,0.0,64.99
52230534,9761392,2023-03-15,website,701389,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,64.99,"speaker, portable, bluetooth",Boytone,0.0,64.99
44316666,1503738,2023-05-04,store,815377,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,"speaker, portable, bluetooth",DreamWave,0.0,290.99
44071167,5668045,2022-02-03,store,559412,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,"speaker, portable, bluetooth",DreamWave,0.0,290.99
84056134,9027320,2023-05-22,mob,518249,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,"speaker, portable, bluetooth",DreamWave,0.0,290.99
19432622,4158261,2022-07-05,mob,349255,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,"speaker, portable, bluetooth",DreamWave,0.0,290.99
87416939,5721159,2023-03-07,website,495205,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,"speaker, portable, bluetooth",DreamWave,0.0,290.99
17903638,5371469,2023-11-15,partners,282739,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,"speaker, portable, bluetooth",DreamWave,0.0,290.99
21818129,4945318,2023-02-22,website,997030,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,"speaker, portable, bluetooth",DreamWave,0.0,290.99
78283659,6453589,2023-11-21,website,620886,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,"speaker, portable, bluetooth",DreamWave,0.0,290.99
28603462,7197833,2022-03-10,mob,115709,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,"speaker, portable, bluetooth",DreamWave,0.0,290.99
29814190,9565561,2024-02-26,store,380872,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",290.99,"speaker, portable, bluetooth",DreamWave,0.0,290.99
13337704,1500433,2022-08-25,store,914069,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",279.99,"speaker, portable, bluetooth",DreamWave,0.0,279.99
82374515,8865357,2022-09-21,partners,512308,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",279.99,"speaker, portable, bluetooth",DreamWave,0.0,279.99
32155780,2492980,2024-03-27,mktplace,210717,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",289.99,"speaker, portable, bluetooth",DreamWave,0.0,289.99
95456944,9118598,2023-11-14,mktplace,603938,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",289.99,"speaker, portable, bluetooth",DreamWave,0.0,289.99
43754845,6895778,2023-11-08,mktplace,194546,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",289.99,"speaker, portable, bluetooth",DreamWave,0.0,289.99
60760812,7284566,2023-08-19,website,801892,Universal Remote Control - 48-Device Universal Remote - Black,254.99,"remote, control, tv",Universal Remote Control,0.0,254.99
14552643,4716913,2022-08-28,website,466420,Universal Remote Control - 48-Device Universal Remote - Black,254.99,"remote, control, tv",Universal Remote Control,0.0,254.99
67206639,1249232,2024-05-18,mktplace,748191,Universal Remote Control - 48-Device Universal Remote - Black,209.99,"remote, control, tv",Universal Remote Control,0.0,209.99
87412946,9308519,2023-10-23,store,345012,Universal Remote Control - 48-Device Universal Remote - Black,239.99,"remote, control, tv",Universal Remote Control,0.0,239.99
84630139,8993039,2022-08-26,store,156978,Universal Remote Control - 48-Device Universal Remote - Black,239.99,"remote, control, tv",Universal Remote Control,0.0,239.99
10364576,6467851,2023-01-08,partners,348705,Universal Remote Control - 48-Device Universal Remote - Black,239.99,"remote, control, tv",Universal Remote Control,0.0,239.99
37663927,7076711,2022-03-12,store,406123,Universal Remote Control - 48-Device Universal Remote - Black,239.99,"remote, control, tv",Universal Remote Control,0.0,239.99
89376944,3660739,2022-04-29,website,652878,Universal Remote Control - 48-Device Universal Remote - Black,239.99,"remote, control, tv",Universal Remote Control,0.0,239.99
37067162,6412548,2024-01-18,store,433469,Universal Remote Control - 48-Device Universal Remote - Black,239.99,"remote, control, tv",Universal Remote Control,0.0,239.99
57194025,3606808,2023-10-26,partners,152520,Universal Remote Control - 48-Device Universal Remote - Black,239.99,"remote, control, tv",Universal Remote Control,0.0,239.99
61619071,9332926,2022-09-08,mktplace,592561,Universal Remote Control - 48-Device Universal Remote - Black,239.99,"remote, control, tv",Universal Remote Control,0.0,239.99
97629728,4222342,2023-08-18,store,511821,Universal Remote Control - 48-Device Universal Remote - Black,239.99,"remote, control, tv",Universal Remote Control,0.0,239.99
96215789,3025099,2023-03-11,store,243730,Universal Remote Control - 48-Device Universal Remote - Black,239.99,"remote, control, tv",Universal Remote Control,0.0,239.99
43815434,9606655,2023-03-09,website,446639,Universal Remote Control - 48-Device Universal Remote - Black,239.99,"remote, control, tv",Universal Remote Control,0.0,239.99
60508140,9369064,2022-06-05,store,947039,Universal Remote Control - 48-Device Universal Remote - Black,239.99,"remote, control, tv",Universal Remote Control,0.0,239.99
37297076,9110641,2023-01-20,store,673833,Universal Remote Control - 48-Device Universal Remote - Black,239.99,"remote, control, tv",Universal Remote Control,0.0,239.99
71230033,8091958,2024-06-26,partners,543768,Universal Remote Control - 48-Device Universal Remote - Black,239.99,"remote, control, tv",Universal Remote Control,0.0,239.99
61197183,7551579,2023-06-16,mktplace,408950,Universal Remote Control - 48-Device Universal Remote - Black,239.99,"remote, control, tv",Universal Remote Control,0.0,239.99
29956215,4028020,2024-06-25,website,540624,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
98433473,9779809,2022-05-07,store,867841,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
90143541,5939774,2023-04-30,store,842311,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
39366274,6429305,2023-01-06,website,159424,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
88625140,6799078,2023-08-10,partners,111780,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
54901197,3400459,2022-05-18,store,350850,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
12934645,7823740,2023-06-06,mktplace,320143,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
32132805,9798956,2024-06-13,store,229784,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
81802052,5541001,2022-07-05,partners,801829,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
44664397,6972800,2022-04-08,mob,224061,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
73143519,7561480,2022-05-23,mktplace,770985,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
46027938,1772705,2023-03-22,mob,190702,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
96160861,3669108,2024-03-14,mob,236906,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
48249254,9033878,2024-05-23,mktplace,899791,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
57846925,6901165,2023-02-03,mob,917514,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
35801185,2961427,2022-12-02,mob,170221,Universal Remote Control - 48-Device Universal Remote - Black,299.98,"remote, control, tv",Universal Remote Control,0.0,299.98
34048023,4560745,2024-04-14,partners,473263,Acoustimass 6 Series V Home Theater Speaker System (Black),499.0,"sound, speaker, home",Bose,0.0,499.0
72297704,5481579,2022-01-27,website,880989,Acoustimass 6 Series V Home Theater Speaker System (Black),699.0,"sound, speaker, home",Bose,0.0,699.0
70023746,5076197,2022-11-15,website,691694,Acoustimass 6 Series V Home Theater Speaker System (Black),699.0,"sound, speaker, home",Bose,0.0,699.0
76871363,4778387,2023-08-31,website,612292,Acoustimass 6 Series V Home Theater Speaker System (Black),699.0,"sound, speaker, home",Bose,0.0,699.0
41940265,2994198,2022-06-24,website,444792,Acoustimass 6 Series V Home Theater Speaker System (Black),699.0,"sound, speaker, home",Bose,0.0,699.0
